,Game,Player Estimate,Game id
497,Beat Hazard,"601,573",49600
498,Talisman: Digital Edition,"601,352",247000
499,Homefront: The Revolution,"600,976",223100
500,Wolfenstein: The Old Blood,"600,610",350080
501,Overcooked,"600,140",448510
502,Game of Thrones - A Telltale Games Series,"598,965",330840
503,Lucius,"596,725",218640
504,Darksiders Warmastered Edition,"596,551",462780
505,Black Mesa,"595,780",362890
506,Eador. Masters of the Broken World,"595,663",232050
507,Hyper Light Drifter,"595,090",257850
508,Modern Combat Versus,"594,344",723780
509,Satellite Reign,"592,993",268870
510,Tales from the Borderlands,"592,856",330830
511,Heroes of Might & Magic III - HD Edition,"591,573",297000
512,Farming Simulator 2013 Titanium Edition,"590,518",220260
513,Cave Story+,"590,104",200900
514,FaceRig,"589,693",274920
515,Viridi,"587,504",375950
516,Remember Me,"587,213",228300
517,Guns and Robots,"587,059",293540
518,Starpoint Gemini 2,"586,707",236150
519,Dungeons 2,"584,679",262280
520,Shovel Knight: Treasure Trove,"583,872",250760
521,GRID Autosport,"583,602",255220
522,Fable Anniversary,"582,271",288470
523,LEGO The Lord of the Rings,"582,228",214510
524,Thomas Was Alone,"581,719",220780
525,FINAL FANTASY VIII,"581,505",39150
526,Octodad: Dadliest Catch,"581,181",224480
527,I am Bread,"579,156",327890
528,60 Seconds!,"578,493",368360
529,NEKOPARA Vol. 1,"578,066",333600
530,ABZU,"577,340",384190
531,Sniper Elite: Nazi Zombie Army,"577,105",227100
532,TOXIKK,"575,390",324810
533,Planetary Annihilation: TITANS,"569,681",386070
534,FINAL FANTASY X/X-2 HD Remaster,"568,989",359870
535,Fortified,"568,944",334210
536,Anomaly: Warzone Earth,"567,765",91200
537,Armello,"565,864",290340
538,NEKOPARA Vol. 0,"565,127",385800
539,Kingdoms and Castles,"563,737",569480
540,Tyranny,"562,631",362960
541,The Flame in the Flood,"561,716",318600
542,Darksiders II Deathinitive Edition,"560,050",388410
543,Defense Grid: The Awakening,"558,114",18500
544,Pinball Arcade,"555,716",238260
545,Viscera Cleanup Detail: Santa's Rampage,"555,426",265210
546,Amnesia: A Machine for Pigs,"554,955",239200
547,Dungeons of Dredmor,"554,550",98800
548,BlackShot: Mercenary Warfare FPS,"553,384",433350
549,Soldier Front 2,"552,866",239660
550,Lara Croft and the Guardian of Light,"550,882",35130
551,Wolfenstein II: The New Colossus,"549,457",612880
552,Door Kickers,"549,148",248610
553,Mini Metro,"547,876",287980
554,Killer is Dead - Nightmare Edition,"546,981",261110
555,Blackwake,"546,456",420290
556,TEKKEN 7,"541,238",389730
557,Punch Club,"541,121",394310
558,Duelyst,"538,747",291410
559,Gone Home,"538,219",232430
560,Guacamelee! Gold Edition,"538,061",214770
561,NBA 2K18,"537,845",577800
562,Golf It!,"537,751",571740
563,Saints Row: Gat out of Hell,"536,513",301910
564,Crush Crush,"535,661",459820
565,DRAGON BALL XENOVERSE 2,"535,273",454650
566,Turbo Pug DX,"534,698",513780
567,Life is Feudal: Your Own,"534,443",290080
568,Jet Set Radio,"533,153",205950
569,Dungeon Fighter Online,"531,876",495910
570,Shadowrun: Dragonfall - Director's Cut,"530,607",300550
571,You Have to Win the Game,"530,340",286100
572,Ace Combat Assault Horizon - Enhanced Edition,"527,228",228400
573,Out There Somewhere,"521,927",263980
574,Alan Wake's American Nightmare,"521,355",202750
575,Grim Fandango Remastered,"516,584",316790
576,3DMark,"515,275",223850
577,Murdered: Soul Suspect,"514,458",233290
578,Craft The World,"509,631",248390
579,Kingdom: New Lands,"509,466",496300
580,Bold New World,"505,953",581620
581,Resident Evil Revelations / Biohazard Revelations,"503,330",222480
582,"Warhammer 40,000: Eternal Crusade","502,562",375230
583,NBA 2K17,"501,303",385760
584,Offworld Trading Company,"499,550",271240
585,Blockstorm,"499,027",263060
586,100% Orange Juice,"498,987",282800
587,Soda Dungeon,"497,334",564710
588,Learn to Fly 3,"496,965",589870
589,Reigns,"496,869",474750
590,The Witness,"494,237",210970
591,Nuclear Throne,"492,848",242680
592,Battleborn,"492,052",394230
593,Car Mechanic Simulator 2018,"491,057",645630
594,SOMA,"490,677",282140
595,TerraTech,"489,971",285920
596,FINAL FANTASY XV WINDOWS EDITION,"489,872",637650
597,The Escapists 2,"489,056",641990
598,Of Guards And Thieves,"488,098",302590
599,Worms Ultimate Mayhem,"486,841",70600
600,Realm Grinder,"486,185",610080
601,Styx: Master of Shadows,"485,922",242640
602,Sniper Elite: Nazi Zombie Army 2,"485,909",247910
603,The Swapper,"484,015",231160
604,Forts,"483,174",410900
605,X3: Terran Conflict,"482,728",2820
606,Jurassic World Evolution,"481,240",648350
607,Governor of Poker 3,"479,096",436150
608,Bad Rats: the Rats' Revenge,"476,787",34900
609,Galactic Civilizations III,"476,035",226860
610,NBA 2K16,"469,791",370240
611,Puzzle Pirates,"469,196",99910
612,RUNNING WITH RIFLES,"468,632",270150
613,Life is Strange: Before the Storm,"467,572",554620
614,Pixel Puzzles Ultimate,"461,488",351030
615,Mirror,"456,954",644560
616,Aliens: Colonial Marines Collection,"456,851",49540
617,THE KING OF FIGHTERS XIII STEAM EDITION,"456,361",222940
618,GUNS UP!,"455,442",446150
619,Victor Vran ARPG,"453,908",345180
620,Teleglitch: Die More Edition,"453,247",234390
621,Turmoil,"452,658",361280
622,Magic: The Gathering - Duels of the Planeswalkers 2013,"452,484",97330
623,CastleMiner Z,"451,422",253430
624,Cities in Motion 2,"451,407",225420
625,Prismata,"451,302",490220
626,Kane & Lynch 2: Dog Days,"448,371",28000
627,UnEpic,"446,738",233980
628,ibb & obb,"446,523",95400
629,Batla,"445,267",338180
630,DRAGON BALL FighterZ,"444,795",678950
631,Superbrothers: Sword & Sworcery EP,"439,828",204060
632,ICEY,"437,615",553640
633,Call to Arms,"436,655",302670
634,Ball 3D: Soccer Online,"434,225",485610
635,A Story About My Uncle,"433,874",278360
636,Terra Incognita ~ Chapter One: The Descendant,"433,639",347560
637,Written in the Sky,"433,025",416130
638,Evoland,"431,669",233470
639,Piercing Blow,"428,413",382850
640,DLC Quest,"425,947",230050
641,Bayonetta,"424,901",460790
642,Hellblade: Senua's Sacrifice,"422,733",414340
643,Murder Miners,"421,780",274900
644,Friday the 13th: Killer Puzzle,"420,843",795100
645,Baldur's Gate II: Enhanced Edition,"420,031",257350
646,Broken Age,"419,666",232790
647,My Summer Car,"416,575",516750
648,Construction Simulator 2015,"416,518",289950
649,Sonic Adventure 2,"416,375",213610
650,Hell Yeah! Wrath of the Dead Rabbit,"415,904",205230
651,Resident Evil / biohazard HD REMASTER,"415,885",304240
652,Heaven Island - VR MMO,"413,860",400250
653,Osmos,"413,551",29180
654,Jamestown,"413,206",94200
655,Loading Screen Simulator,"412,731",652980
656,Freebie,"411,391",487220
657,Dystopia,"410,346",17580
658,Tales of Zestiria,"410,109",351970
659,Men of War: Assault Squad,"409,681",64000
660,Turn Around,"407,501",595340
661,Shadow Tactics: Blades of the Shogun,"405,980",418240
662,"Hyperdimension Neptunia Re;Birth1 / è¶...æ¬¡æ¬¡å...ƒã‚²ã‚¤ãƒ ãƒãƒ—ãƒ†ãƒ¥ãƒ¼ãƒŒRe;Birth1 / è¶...æ¬¡æ¬¡å...ƒéŠæˆ²æˆ°æ©Ÿå°'å¥³é‡ç""Ÿ1","405,416",282900
663,Sol Survivor,"405,082",45000
664,Nexuiz,"404,730",96800
665,Skyforge,"404,721",414530
666,State of Decay: YOSE,"403,911",329430
667,Time of Dragons,"402,752",353130
668,Turbo Dismount,"402,549",263760
669,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,"401,903",359050
670,Salt and Sanctuary,"400,674",283640
671,LEGO The Hobbit,"400,545",285160
672,Savage Lands,"399,316",307880
673,Robot Roller-Derby Disco Dodgeball,"396,373",270450
674,The Culling Of The Cows,"396,159",297020
675,Back to Bed,"394,370",308040
676,Tower Wars,"393,962",214360
677,"Invisible, Inc.","393,703",243970
678,Trine 3: The Artifacts of Power,"392,900",319910
679,Polarity,"392,114",315430
680,SAMOLIOTIK,"388,554",449680
681,Outlast 2,"387,821",414700
682,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist","387,663",409160
683,RWBY: Grimm Eclipse,"387,405",418340
684,F1 2017,"386,242",515220
685,"Cook, Serve, Delicious!","384,598",247020
686,DEAD OR ALIVE 5 Last Round: Core Fighters,"383,476",311730
687,Hide and Shriek,"382,313",480430
688,Bloody Trapland,"380,476",257750
689,Crusaders of the Lost Idols,"379,611",402840
690,The Vanishing of Ethan Carter,"379,237",258520
691,"Castlevania: Lords of Shadow â€"" Ultimate Edition","379,043",234080
692,Rebel Galaxy,"378,307",290300
693,Cogs,"377,806",26500
694,Magic: The Gathering - Duels of the Planeswalkers 2012,"377,401",49470
695,This Is the Police,"376,582",443810
696,Genital Jousting,"375,882",469820
697,Mountain,"375,718",313340
698,Nomad,"371,579",378370
699,Revolution Ace,"371,346",274560
700,AI War: Fleet Command,"371,287",40400
701,Streets of Rogue,"371,171",512900
702,Never Alone (Kisima Ingitchuna),"370,263",295790
703,Death Rally,"370,163",108700
704,Long Live The Queen,"369,384",251990
705,Planet Explorers,"369,351",237870
706,Clustertruck,"368,787",397950
707,RPG MO,"368,618",372800
708,Party Hard,"367,745",356570
709,SteamWorld Dig,"367,286",252410
710,Princess.Loot.Pixel.Again,"365,728",414290
711,Grey Goo,"364,090",290790
712,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / çœŸãƒ»ä¸‰åœ‹ç„¡åŒï¼— with çŒ›å°†ä¼,"363,817",278080
713,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,"363,459",272510
714,F1 2012,"363,358",208500
715,War for the Overworld,"363,113",230190
716,Galactic Junk League,"362,859",562590
717,Planetbase,"361,192",403190
718,Cossacks 3,"360,956",333420
719,No Time To Explain Remastered,"360,564",368730
720,Tiny and Big: Grandpa's Leftovers,"360,126",205910
721,Organ Trail: Director's Cut,"359,935",233740
722,Kingdom Wars,"359,640",227180
723,The Last Hope,"359,502",522570
724,VEGA Conflict,"359,362",339600
725,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,"358,624",218060
726,Windward,"355,878",326410
727,Really Big Sky,"355,611",201570
728,Anarchy Arcade,"355,332",266430
729,Slender: The Arrival,"354,224",252330
730,Bloons TD 5,"354,027",306020
731,Halo: Spartan Assault,"352,861",277430
732,Timberman,"352,371",398710
733,Toki Tori,"352,195",38700
734,House Flipper,"351,645",613100
735,Sniper Fury,"351,470",591740
736,Titan Souls,"350,359",297130
737,Morphopolis,"349,778",314020
738,Catch a Falling Star,"349,290",451880
739,DARK SOULS: REMASTERED,"348,944",570940
740,King Arthur's Gold,"348,064",219830
741,Nioh: Complete Edition / ä»çŽ‹ Complete Edition,"347,803",485510
742,Minecraft: Story Mode - A Telltale Games Series,"346,763",376870
743,Guild Quest,"346,627",547680
744,The Banner Saga: Factions,"346,032",219340
745,One Piece Pirate Warriors 3,"345,720",331600
746,LEGO Jurassic World,"343,167",352400
747,X Rebirth,"343,046",2870
748,Risen 3 - Titan Lords,"342,772",249230
749,The Tower Of Elements,"342,253",377310
750,Knights of Pen and Paper +1 Edition,"342,008",231740
751,Costume Quest,"341,308",115100
752,DETOUR,"341,194",92100
753,Revenge of the Titans,"340,794",93200
754,State of Anarchy,"340,127",463210
755,Solar 2,"339,780",97000
756,Battle Islands,"338,532",305260
757,Transport Fever,"337,931",446800
758,SAS: Zombie Assault 4,"337,896",678800
759,Damned,"337,285",251170
760,Space Beret,"337,145",547960
761,The LEGO Movie - Videogame,"336,631",267530
762,Giana Sisters: Twisted Dreams,"335,909",223220
763,Dead Island Definitive Edition,"335,791",383150
764,Hard Reset Extended Edition,"335,265",98400
765,Pony Island,"334,799",405640
766,FINAL FANTASY IX,"333,922",377840
767,Mordheim: City of the Damned,"332,983",276810
768,AX:EL - Air XenoDawn,"332,904",319830
769,Epigenesis,"332,826",244590
770,Dead Realm,"331,065",352460
771,Botanicula,"330,330",207690
772,Grow Home,"330,240",323320
773,Motorsport Manager,"330,158",415200
774,LEGO Batman3: Beyond Gotham,"330,037",313690
775,Squishy the Suicidal Pig,"328,982",318430
776,Data Hacker: Reboot,"328,357",331790
777,The Room,"327,417",288160
778,Simply Chess,"327,332",312280
779,MANDAGON,"326,618",461560
780,Escape This,"326,346",467370
781,Planets Under Attack,"325,744",218510
782,Supraball,"325,150",321400
783,Eternal Card Game,"324,938",531640
784,Dead Maze,"324,662",667890
785,Audiosurf 2,"324,405",235800
786,Ratz Instagib,"324,272",338170
787,And Yet It Moves,"324,236",18700
788,Trashville,"323,864",589390
789,Invasion: Brain Craving,"323,181",423710
790,God Mode,"322,132",227480
791,Battlefleet Gothic: Armada,"321,637",363680
792,The Bridge,"320,817",204240
793,The Hat Man: Shadow Ward,"320,602",291010
794,Zeno Clash,"320,458",22200
795,South Park: The Fractured But Whole,"320,160",488790
796,HunieCam Studio,"320,028",426000
797,The Jackbox Party Pack 3,"319,411",434170
798,Gems of War - Puzzle RPG,"319,394",329110
799,Spintires: MudRunner,"319,213",675010
800,F1 2016,"318,467",391040
801,NEKOPARA Vol. 2,"318,426",420110
802,Elements: Soul of Fire,"318,054",340650
803,Mortal Online,"316,391",287920
804,Atom Zombie Smasher,"316,352",55040
805,Rec Room,"316,036",471710
806,One Way Heroics,"315,869",266210
807,SimplePlanes,"314,932",397340
808,LUFTRAUSERS,"314,885",233150
809,Pool Nation FX Lite,"314,286",314000
810,Tricky Towers,"314,191",437920
811,Shank,"312,665",6120
812,Star Chronicles: Delta Quadrant,"311,967",383330
813,Atonement: Scourge of Time,"310,592",385070
814,Yellow: The Yellow Artifact,"310,339",486820
815,Project Starship,"310,160",454890
816,Insanity Clicker,"310,042",393530
817,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,"309,617",214830
818,Might & Magic: Clash of Heroes,"309,591",61700
819,Abyss Odyssey,"308,646",255070
820,Dungeon of Zolthan,"307,976",463220
821,MX vs. ATV Reflex,"307,610",55140
822,Mercenary Kings: Reloaded Edition,"307,315",218820
823,The Jackbox Party Pack,"307,175",331670
824,Dream Daddy: A Dad Dating Simulator,"306,906",654880
825,Make it indie!,"306,739",357900
826,Binary Domain,"306,463",203750
827,Blackguards,"305,941",249650
828,Her Story,"305,686",368370
829,METRO CONFLICT: THE ORIGIN,"304,620",662320
830,Magic 2015 - Duels of the Planeswalkers,"303,768",255420
831,Viking: Battle for Asgard,"300,593",211160
832,Tooth and Tail,"300,539",286000
833,City of Chains,"300,130",412170
834,Stronghold 2: Steam Edition,"300,020",40960
835,Kingdom Rush,"299,922",246420
836,The Jackbox Party Pack 2,"299,913",397460
837,Devil May Cry 4 Special Edition,"299,184",329050
838,Serious Sam Fusion 2017 (beta),"298,645",564310
839,LYNE,"298,463",266010
840,LISA,"297,947",335670
841,Renegade Ops,"297,463",99300
842,The District,"296,190",357770
843,Star Saviors,"295,982",314450
844,Pit People,"295,630",291860
845,Dark and Light,"295,606",529180
846,Bejeweled 3,"295,211",78000
847,Ticket to Ride,"295,151",108200
848,There's Poop In My Soup,"294,984",449540
849,Blood Bowl 2,"294,476",236690
850,Elements II: Hearts of Light,"293,115",448640
851,STRIDER / ã‚¹ãƒˆãƒ©ã‚¤ãƒ€ãƒ¼é£›ç«œ,"292,888",235210
852,Sonic Adventure DX,"291,205",71250
853,VA-11 Hall-A: Cyberpunk Bartender Action,"290,658",447530
854,EVERSPACE,"290,326",396750
855,Street Warriors Online,"290,227",417910
856,BATTLETECH,"289,619",637090
857,Tricolour Lovestory,"289,264",668630
858,Montaro,"288,782",495890
859,Monkey Island 2 Special Edition: LeChuckâ€™s Revenge,"288,297",32460
860,Aragami,"287,729",280160
861,Downwell,"287,413",360740
862,Outrage,"287,010",457820
863,Rocketbirds: Hardboiled Chicken,"286,849",215510
864,Worms W.M.D,"286,591",327030
865,Drayt Empire,"286,567",502140
866,Rivals of Aether,"286,514",383980
867,For The King,"285,696",527230
868,Space Farmers,"285,436",271570
869,Turbo Pug 3D,"285,208",528510
870,Tales of Berseria,"284,444",429660
871,Missing Translation,"284,121",395520
872,Fall of Civilization,"283,367",467010
873,Hatoful Boyfriend,"283,021",310080
874,Half Dead,"282,077",434730
875,Dungetris,"281,912",462200
876,Incitement 3,"281,562",391660
877,Madballs in Babo:Invasion,"281,079",25700
878,Oxenfree,"280,771",388880
879,Retro City Rampage DX,"280,667",204630
880,Little Nightmares,"280,612",424840
881,HellAngel,"280,536",524340
882,Stigmat,"280,103",403570
883,LOST PLANET 3,"279,675",226720
884,PIGMENTUM,"279,593",582280
885,Pid,"278,689",218740
886,Shadow Warrior Classic Redux,"278,226",225160
887,The Walking Dead: A New Frontier,"278,042",536220
888,Atonement 2: Ruptured by Despair,"277,061",533820
889,Domina,"276,003",535230
890,Guardians of Orion,"275,847",407840
891,Omerta - City of Gangsters,"275,454",208520
892,Castle Story,"275,014",227860
893,Trouble In The Manor,"274,955",338530
894,Nuclear Contingency,"274,316",540900
895,Rise of the Triad,"272,986",217140
896,CPUCores :: Maximize Your FPS,"272,887",384300
897,Batman - The Telltale Series,"272,720",498240
898,Cat Goes Platform,"272,633",567250
899,Game of Thrones,"272,599",208730
900,The Cave,"271,663",221810
901,DiRT 4,"270,550",421020
902,Trolley Gold,"270,525",498320
903,Rock of Ages 2: Bigger & Boulder,"270,427",434460
904,Shadowrun: Hong Kong - Extended Edition,"268,438",346940
905,Orbital Gear,"267,763",298520
906,Desolate Wastes: Vendor Chronicles,"267,723",563120
907,Germ Wars,"267,647",557680
908,hack_me,"267,561",526740
909,BIT.TRIP BEAT,"267,116",63700
910,Home Behind,"267,054",467960
911,METAL SLUG DEFENSE,"266,981",356310
912,Divinity: Dragon Commander,"265,816",243950
913,Fluffy Creatures VS The World,"265,237",619400
914,Day of the Tentacle Remastered,"265,169",388210
915,Project CARS 2,"264,945",378860
916,Camera Obscura,"264,412",341500
917,Take Thy Throne,"264,026",491260
918,Road Madness,"263,944",457710
919,Tabletopia,"263,899",402560
920,Dead Rising 2: Off the Record,"263,656",45770
921,Bit Blaster XL,"263,361",433950
922,Stealth Inc 2: A Game of Clones,"261,792",329380
923,Unalive,"261,546",574640
924,Wizard of Legend,"261,463",445980
925,Next Day: Survival,"260,661",519190
926,Legend of Grimrock 2,"260,443",251730
927,Deep Space Dash,"260,100",493650
928,OLDTV,"259,813",643270
929,Grind Zones,"259,441",327680
930,Labyronia RPG,"259,225",391260
931,POSTAL,"258,861",232770
932,Hyper color ball,"258,593",515470
933,Age of Conquest IV,"257,484",314970
934,Rampage Knights,"257,372",314410
935,Battle Royale Trainer,"257,046",772540
936,Final Quest II,"256,959",540020
937,Greyfox RPG,"256,746",341310
938,The Four Kings Casino and Slots,"256,424",260430
939,PixARK,"256,179",593600
940,DuckTales: Remastered,"255,766",237630
941,Pool Nation,"255,171",254440
942,Shatter,"255,073",20820
943,The Incredible Adventures of Van Helsing II,"254,601",272470
944,ELEX,"254,457",411300
945,Legend of Mysteria RPG,"254,231",407230
946,The Legend of Heroes: Trails in the Sky,"254,152",251150
947,Blood Bowl: Chaos Edition,"253,538",216890
948,Grand Pigeon's Duty,"253,400",449530
949,Deadfall Adventures,"252,514",231330
950,Owlboy,"251,798",115800
951,Pixel Puzzles: Japan,"250,430",284950
952,Streamline,"249,845",252850
953,Chaos on Deponia,"249,600",220740
954,My Time At Portia,"249,441",666140
955,Spikit,"248,909",509110
956,Run Away,"248,496",629280
957,Stronghold Legends: Steam Edition,"248,308",40980
958,SOS,"248,224",619080
959,RUSH,"248,133",38720
960,Stacking,"248,039",115110
961,Prominence Poker,"247,520",384180
962,Bridge Constructor,"247,455",250460
963,Idle Champions of the Forgotten Realms,"247,248",627690
964,Momodora: Reverie Under The Moonlight,"246,833",428550
965,The Basement Collection,"246,622",214790
966,Project Highrise,"246,461",423580
967,Drop Alive,"246,280",513450
968,Capsized,"246,235",95300
969,LEGO STAR WARS: The Force Awakens,"245,948",438640
970,FINAL FANTASY XIII-2,"244,770",292140
971,Detention,"244,747",555220
972,RADical ROACH Remastered,"244,616",301750
973,The Land of Dasthir,"244,539",545700
974,Reset 1-1,"244,440",491650
975,The Typing of The Dead: Overkill,"244,364",246580
976,Under Zero,"243,413",454930
977,Master of Orion,"243,222",298050
978,GOD EATER 2 Rage Burst,"243,065",438490
979,Sleeping Valley,"243,018",538590
980,Warriors of Vilvatikta,"242,938",515690
981,ENSLAVED: Odyssey to the West Premium Edition,"242,618",245280
982,Ziggurat,"242,342",308420
983,Minimum,"242,221",214190
984,Iron Sky: Invasion,"241,819",224900
985,Gunscape,"241,759",342480
986,Crawl,"241,677",293780
987,Sonic CD,"241,011",200940
988,Royal Quest,"240,272",295550
989,Hatred,"240,088",341940
990,Shelter 2,"239,901",275100
991,Shake Your Money Simulator 2016,"239,823",448660
992,Data Hacker: Initiation,"239,817",311860
993,HOARD,"239,813",63000
994,Jazzpunk: Director's Cut,"239,119",250260
995,Energy Cycle,"238,706",415960
996,Mad Hunter,"238,654",558610
997,Jet Racing Extreme: The First Encounter,"238,249",385270
998,Cities in Motion,"237,970",73010
999,SolForge,"237,212",232450
